Master Record Number,Year,Month,Day,Weekend?,Hour,Collision Type,Injury Type,Primary Factor,Reported_Location,Latitude,Longitude
902363382,2015,1,5,Weekday,0,2-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,1ST & FESS,39.15920668,-86.52587356
902364268,2015,1,6,Weekday,1500,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,2ND & COLLEGE,39.16144,-86.534848
902364412,2015,1,6,Weekend,2300,2-Car,Non-incapacitating,DISREGARD SIGNAL/REG SIGN,BASSWOOD & BLOOMFIELD,39.14978027,-86.56889006
902364551,2015,1,7,Weekend,900,2-Car,Non-incapacitating,FAILURE TO YIELD RIGHT OF WAY,GATES & JACOBS,39.165655,-86.57595635
902364615,2015,1,7,Weekend,1100,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,W 3RD,39.164848,-86.57962482
902364664,2015,1,6,Weekday,1800,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,BURKS & WALNUT,39.12666969,-86.53136998
902364682,2015,1,6,Weekday,1200,2-Car,No injury/unknown,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,SOUTH CURRY PIKE LOT 71,39.150825,-86.584899
902364683,2015,1,6,Weekday,1400,1-Car,Incapacitating,ENGINE FAILURE OR DEFECTIVE,NORTH LOUDEN RD,39.19927216,-86.63702393
902364714,2015,1,7,Weekend,1400,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,LIBERTY & W 3RD,39.16461021,-86.57913007
902364756,2015,1,7,Weekend,1600,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,PATTERSON & W 3RD,39.16344009,-86.55128002
902364761,2015,1,7,Weekend,1500,2-Car,No injury/unknown,UNSAFE BACKING,S LIBERTY,39.145264,-86.577616
902364764,2015,1,7,Weekend,1600,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,E WINSLOW & S HIGHLAND,39.136048,-86.518496
902364822,2015,1,7,Weekend,1700,1-Car,No injury/unknown,UNSAFE BACKING,E KIRKWOOD,39.16664,-86.53070106
902365038,2015,1,7,Weekend,1800,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,HEATHERWOOD & LEONARD SPRINGS,39.12678972,-86.58258006
902365063,2015,1,1,Weekend,1300,3+ Cars,Incapacitating,DISREGARD SIGNAL/REG SIGN,ROGERS & W PATTERSON,39.15379018,-86.53875008
902365100,2015,1,1,Weekend,1500,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,SOUTH WALNUT & SOUTH WALNUT STREET,39.107344,-86.5264
902365193,2015,1,1,Weekend,1800,1-Car,No injury/unknown,ROADWAY SURFACE CONDITION,17TH & MONROE,39.179248,-86.547104
902365241,2015,1,1,Weekend,1800,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,ARLINGTON & MONROE,39.179248,-86.547104
902365255,2015,1,1,Weekend,1600,2-Car,No injury/unknown,,NORTH GRANT,39.17830276,-86.52934265
902365284,2015,1,1,Weekend,1600,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,SOUTH LIBERTY,39.145264,-86.577616
902365371,2015,1,1,Weekend,1800,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,DILLMAN & SR37S,39.09571236,-86.54595204
902365494,2015,1,1,Weekend,1200,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,RHORER & S WALNUT,39.12144,-86.526496
